,EOTS,,,,,,,,,,LED Worksheet,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last Edited,10/2/2024 11:47:49,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL,Naming,Notes,Product,Tiles_Wide,Tiles_High,Total Tiles,Pitch (mm),Tile MM Width,Tile MM Height,Tile_Px_Width,Tile_Px_Height,,Screen Native Px Width,Screen Native Px Height,,Total Pixels ,% of a 4K Raster,# Outputs,Screen Aspect,Screen M Width,Screen M Height,,,,AE MAP SCALED WIDTH,AE MAP SCALED HEIGHT,AE SCALE FACTOR W,AE SCALE FACTOR H,Scaled Pitch
,,,BO3,1,1,1,3.74,500,500,144,144,,144,144,,20736,0.0025,,1,0.5,0.5,1.64,1.64,,1920,1080,13.33333333,7.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpStage Wall ,US,,CB5,20,4,,5.77,600,1200,104,208,,2080,832,,1730560,0.2086419753,,2.5,12,4.8,39.36,15.744,,1920,1080,0.9230769231,1.298076923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CB3,,,,3.75,600,1200,160,320,,,,,,,,,,,,,,,,,,
,,,CB5,,,,5.77,600,1200,104,208,,,,,960.000000000000000,,,,,,,,,,,,,
,,,CB8,,,,8.33,600,1200,72,144,,,,,,,,,,,,,,,,,,
,,,BP2,,,,2.84,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BP3,,,,3.91,500,500,128,128,,,,,,,,,,,,,,,,,,
,,,BM4,,,,4.7625,609.6,609.6,128,128,,,,,,,,,,,,,,,,,,
,,,BM5,,,,5.7692,600,600,104,104,,,,,,,,,,,,,,,,,,
,,,BO2,,,,2.84,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BO3,,,,3.47,500,500,144,144,,,,,,,,,,,,,,,,,,
,,,AmFlexPro-2.5,,,,2.5,200,300,120,160,,,,,,,,,,,,,,,,,,
,,,Vanish 8T,,,,8.9mm,1000,1000,112,112,,,,,,,,,,,,,,,,,,
,,,Saco S12,,,,12,448,448,36,36,,,,,,,,,,,,,,,,,,