LED Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Touched,10/1/2024 15:47:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL,Naming,Notes,Product,Tiles_Wide,Tiles_High,Total Tiles,Pitch (mm),Tile MM Width,Tile MM Height,Tile_Px_Width,Tile_Px_Height,,Screen Native Px Width,Screen Native Px Height,,Total Pixels ,% of a 4K Raster,# Outputs,Screen Aspect,Screen M Width,Screen M Height,,,,AE MAP SCALED WIDTH,AE MAP SCALED HEIGHT,AE SCALE FACTOR W,AE SCALE FACTOR H,Scaled Pitch
,,,BO3,1,1,1,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
Cube A SR,,,CB5,8,4,,5.77,600,1200,104,208,,832,832,,692224,0.08345679012,,1,4.8,4.8,15.744,15.744,,1920,1080,2.307692308,1.298076923,
Cube A Center ,,,CB5,14,4,,5.77,600,1200,104,208,,1456,832,,1211392,0.1460493827,,1.75,8.4,4.8,27.552,15.744,,1920,1080,1.318681319,1.298076923,
Cube B Center ,,,CB5,8,4,,5.77,600,1200,104,208,,832,832,,692224,0.08345679012,,1,4.8,4.8,15.744,15.744,,1920,1080,2.307692308,1.298076923,
Cube B SL,,,CB5,14,4,,5.77,600,1200,104,208,,1456,832,,1211392,0.1460493827,,1.75,8.4,4.8,27.552,15.744,,1920,1080,1.318681319,1.298076923,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
IMAG SL ,,,CB5,18,11,,5.77,600,1200,104,208,,1872,2288,,4283136,0.5163888889,,0.8181818182,10.8,13.2,35.424,43.296,,1920,1080,1.025641026,0.472027972,
Return SL ,,,CB5,12,11,,5.77,600,1200,104,208,,1248,2288,,2855424,0.3442592593,,0.5454545455,7.2,13.2,23.616,43.296,,1920,1080,1.538461538,0.472027972,
US Wall ,,,CB5,22,13,,5.77,600,1200,104,208,,2288,2704,,6186752,0.7458950617,,0.8461538462,13.2,15.6,43.296,51.168,,1920,1080,0.8391608392,0.399408284,
Return SR,,,CB5,12,11,,5.77,600,1200,104,208,,1248,2288,,2855424,0.3442592593,,0.5454545455,7.2,13.2,23.616,43.296,,1920,1080,1.538461538,0.472027972,
IMAG SR ,,,CB5,18,11,,5.77,600,1200,104,208,,1872,2288,,4283136,0.5163888889,,0.8181818182,10.8,13.2,35.424,43.296,,1920,1080,1.025641026,0.472027972,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,24271104.000000000000000,2.926203703703700,0.000000000000000,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Common Tiles (All Full Length),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CB3,,,,3.75,600,1200,160,320,,,,,,,,,,,,,,,,,,
,,,CB5,,,,5.77,600,1200,104,208,,,,,960.000000000000000,,,,,,,,,,,,,
,,,CB8,,,,8.33,600,1200,72,144,,,,,,,,,,,,,,,,,,
,,,BP2,,,,2.84,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BP3,,,,3.91,500,500,128,128,,,,,,,,,,,,,,,,,,
,,,BM4,,,,4.7625,609.6,609.6,128,128,,,,,,,,,,,,,,,,,,
,,,BM5,,,,5.7692,600,600,104,104,,,,,,,,,,,,,,,,,,
,,,BO2,,,,2.84,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BO3,,,,3.47,500,500,144,144,,,,,,,,,,,,,,,,,,
,,,AmFlexPro-2.5,,,,2.5,200,300,120,160,,,,,,,,,,,,,,,,,,
,,,Vanish 8T,,,,8.9mm,1000,1000,122,122,,,,,,,,,,,,,,,,,,
,,,Saco S12,,,,12,448,448,36,36,,,,,,,,,,,,,,,,,,
,,,ROE FLEX,,,,2.604,500,500,192,192,,,,,,,,,,,,,,,,,,
,,,AR 4,,,,4.6,500,1000,108,216,,,,,,,,,,,,,,,,,,