LED Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMA 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Touched,9/27/2024 6:20:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL,Naming,Notes,Product,Tiles_Wide,Tiles_High,Total Tiles,Pitch (mm),Tile MM Width,Tile MM Height,Tile_Px_Width,Tile_Px_Height,Screen Native Px Width,Screen Native Px Height,,Total Pixels ,% of a 4K Raster,# Outputs,Screen Aspect,Screen M Width,Screen M Height,,,,AE MAP SCALED WIDTH,AE MAP SCALED HEIGHT,AE SCALE FACTOR W,AE SCALE FACTOR H,Scaled Pitch
,,,BO3,1,1,1,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,0,0,,0,0,,#DIV/0!,0,0,0,0,,1920,1080,#DIV/0!,#DIV/0!,
SR Far Wing,,,,11,13,143,,,,,,78,78,,858,1014,,870012,0.1048914931,,0.8461538462,0,0,0,0,,1920,1080,2.237762238,1.065088757,
SR IMAG,,,,25,9,225,,,,,,78,156,,1950,1404,,2737800,0.330078125,,,,,,,,,,,,
SR Return ,,,,9,18,162,,,,,,78,78,,702,1404,,985608,0.118828125,,,,,,,,,,,,
US Top,,,,37,10,370,,,,,,78,78,,2886,780,,2251080,0.2713975694,,,,,,,,,,,,
US Bot,,,,53,18,954,,,,,,78,78,,4134,1404,,5804136,0.699765625,,,,,,,,,,,,
SL Return ,,,,9,18,162,,,,,,78,78,,702,1404,,985608,0.118828125,,,,,,,,,,,,
SL IMAG ,,,,25,9,225,,,,,,78,156,,1950,1404,,2737800,0.330078125,,,,,,,,,,,,
SL Far Wing,,,,11,13,143,,,,,,78,78,,858,1014,,870012,0.1048914931,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,17242056.000000000000000,2.078758680555560,0.000000000000000,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Tiles (All Full Length),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CB3,,,,,3.75,,600,1200,160,320,,,,,,,,,,,,,,,,,,
,,,CB5,,,,,5.77,,600,1200,104,208,,,,,960.000000000000000,,,,,,,,,,,,,
,,,CB8,,,,,8.33,,600,1200,72,144,,,,,,,,,,,,,,,,,,
,,,BP2,,,,,2.84,,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BP3,,,,,3.91,,500,500,128,128,,,,,,,,,,,,,,,,,,
,,,BM4,,,,,4.7625,,609.6,609.6,128,128,,,,,,,,,,,,,,,,,,
,,,BM5,,,,,5.7692,,600,600,104,104,,,,,,,,,,,,,,,,,,
,,,BO2,,,,,2.84,,500,500,176,176,,,,,,,,,,,,,,,,,,
,,,BO3,,,,,3.47,,500,500,144,144,,,,,,,,,,,,,,,,,,
,,,AmFlexPro-2.5,,,,,2.5,,200,300,120,160,,,,,,,,,,,,,,,,,,
,,,Vanish 8T,,,,,8.9mm,,1000,1000,122,122,,,,,,,,,,,,,,,,,,
,,,Saco S12,,,,,12,,448,448,36,36,,,,,,,,,,,,,,,,,,
,,,ROE FLEX,,,,,2.604,,500,500,192,192,,,,,,,,,,,,,,,,,,